,Air,9.5,18.5,26.4,33.5,39.9,46
Ar,Argon (P=0),6.3,12.4,17.7,22.4,26.5,30.3
BF3,Boron trifluoride,,,19,24.6,,
ClH,Hydrogen chloride,,9.8,15,19.8,24.2,28.3
F6S,Sulfur hexafluoride,,,13.1,20.6,27.6,34.1
H2,Normal hydrogen (P=0),68.2,132.8,186.6,230.9,270.9,309.1
H2O,Water (P=0),,,18.6,26.4,35.8,46.3
D2O,Deuterium oxide (P=0),,,17.9,26,35.6,46.7
H2S,Hydrogen sulfide (P=0),,9,14.2,20.2,26.8,33.8
H3N,Ammonia,,,25.4,37.5,52,68.6
He,Helium (P=0),74.7,118.3,155.7,189.6,221.4,251.6
Kr,Krypton (P=0),3.3,6.4,9.5,12.2,14.7,17
NO,Nitric oxide,,17.8,25.9,33.1,39.6,46.2
N2,Nitrogen (P=0),9.2,18.3,25.9,32.6,38.9,45.1
N2O,Nitrous oxide (P=0),,9.7,17.1,25.3,33.6,41.8
Ne,Neon (P=0),22.3,37.4,49.4,59.9,69.5,78.5
O2,Oxygen,9.1,18.2,26.5,34,41,47.7
O2S,Sulfur dioxide,,,9.6,14.3,20,25.6
Xe,Xenon (P=0),2,3.7,5.5,7.2,8.8,10.3
CCl2F2,Dichlorodifluoromethane,,,9.9,15,20.1,25.2
CF4,Tetrafluoromethane (P=0),,,16,24.1,32.2,39.9
CO,Carbon monoxide (P=0),,,25,31.7,37.9,43.2
CO2,Carbon dioxide,,9.7,16.8,24.7,32.9,41
CHCl3,Trichloromethane,,,7.5,11.1,15.1,
CH4,Methane (P=0),10.4,21.8,34.4,50,68.4,88.6
CH4O,Methanol,,,,25.6,38.2,52.7
C2Cl2F4,"1,2-Dichlorotetrafluoroethane",,,10.8,15.8,20.6,25.1
C2Cl3F3,"1,1,2-Trichlorotrifluoroethane",,,9,13.6,18.3,
C2H2,Acetylene,,,21.4,33.3,45.4,56.8
C2H4,Ethylene,,10.5,21.1,36.4,55.1,75.8
C2H4O,Ethylene oxide (P=0),,6,12.2,22.2,34.8,48.5
C2H6,Ethane (P=0),4.8,11.2,21.5,35.7,52.3,70.1
C2H6O,Ethanol,,,14.4,25.8,38.4,53.2
C3H2ClF3,"trans-1-Chloro-3,3,3-trifluoropropene (R1233zd(E))",,,10.8,18.4,25.9,33.1
C3H3F5,Pentafluoropropane,,,12.8,21.9,31,40.1
C3H6O,Acetone,,,11.5,20.2,30.6,42.7
C3H8,Propane (P=0),,8.9,18,30.9,46,62.1
C4F8,Perfluorocyclobutane,,,12.1,19.1,26.3,33.5
C4H10,n-Butane,,,16.7,28.3,43,60.9
C4H10,Isobutane,,,17.1,28.9,43.2,60.2
C4H10O,Diethyl ether,,,15.1,25,37.1,
C5H10,Cyclopentane,,,,22.4,35.6,50.4
C5H12,n-Pentane,,,,26,39.9,55.5
C6H14,n-Hexane,,,,23.5,35.5,48.8
